[2025-04-16 19:05:31] ==================================================
[2025-04-16 19:05:35] GCNN for Shastry-Sutherland lattice
[2025-04-16 19:05:35] ==================================================
[2025-04-16 19:05:35] System parameters:
[2025-04-16 19:05:35]   - System size: L=4, N=64
[2025-04-16 19:05:35]   - System parameters: J1=0.03, J2=0.05, Q=0.95
[2025-04-16 19:05:41] --------------------------------------------------
[2025-04-16 19:05:41] Model parameters:
[2025-04-16 19:05:41]   - Number of layers = 4
[2025-04-16 19:05:41]   - Number of features = 4
[2025-04-16 19:05:41]   - Symmetries used: 128
[2025-04-16 19:05:41]   - Total parameters = 12572
[2025-04-16 19:05:41] --------------------------------------------------
[2025-04-16 19:05:41] Training parameters:
[2025-04-16 19:05:41]   - Learning rate: 0.02
[2025-04-16 19:05:42]   - Total annealing steps: 1000
[2025-04-16 19:05:42]   - Samples: 4096
[2025-04-16 19:05:42]   - Discarded samples: 0
[2025-04-16 19:05:42]   - Chunk size: 1024
[2025-04-16 19:05:42] --------------------------------------------------
[2025-04-16 19:05:42] Device status:
[2025-04-16 19:05:42]   - Number of devices: 4
[2025-04-16 19:05:42]   - Sharding: False
[2025-04-16 19:05:49] --------------------------------------------------
[2025-04-16 19:05:49] Start training...
[2025-04-16 19:10:25] Iteration: 49/1000, Temp: 0.1877, Energy: 0.811895-0.008804j, Rel_err(%): 101.4958
[2025-04-16 19:10:30] Iteration: 50/1000, Temp: 0.1839, Energy: 0.745692-0.003641j, Rel_err(%): 101.3738
[2025-04-16 19:10:36] Iteration: 51/1000, Temp: 0.1803, Energy: 0.683286+0.011605j, Rel_err(%): 101.2589
[2025-04-16 19:10:41] Iteration: 52/1000, Temp: 0.1767, Energy: 0.599037+0.006762j, Rel_err(%): 101.1037
[2025-04-16 19:10:46] Iteration: 53/1000, Temp: 0.1732, Energy: 0.397706-0.019978j, Rel_err(%): 100.7327
[2025-04-16 19:10:51] Iteration: 54/1000, Temp: 0.1698, Energy: 0.352562+0.012698j, Rel_err(%): 100.6496
[2025-04-16 19:10:56] Iteration: 55/1000, Temp: 0.1664, Energy: 0.129775+0.000887j, Rel_err(%): 100.2391
[2025-04-16 19:11:02] Iteration: 56/1000, Temp: 0.1631, Energy: -0.077695-0.002992j, Rel_err(%): 99.8569
[2025-04-16 19:11:07] Iteration: 57/1000, Temp: 0.1599, Energy: -0.255081-0.000415j, Rel_err(%): 99.5300
[2025-04-16 19:11:12] Iteration: 58/1000, Temp: 0.1567, Energy: -0.463170-0.005540j, Rel_err(%): 99.1467
[2025-04-16 19:11:17] Iteration: 59/1000, Temp: 0.1536, Energy: -0.763874-0.022309j, Rel_err(%): 98.5927
[2025-04-16 19:11:22] Iteration: 60/1000, Temp: 0.1506, Energy: -0.971139-0.009810j, Rel_err(%): 98.2108
[2025-04-16 19:11:28] Iteration: 61/1000, Temp: 0.1476, Energy: -1.275388+0.045933j, Rel_err(%): 97.6503
[2025-04-16 19:11:33] Iteration: 62/1000, Temp: 0.1447, Energy: -1.665396+0.011110j, Rel_err(%): 96.9317
[2025-04-16 19:11:38] Iteration: 63/1000, Temp: 0.1418, Energy: -2.017159+0.054910j, Rel_err(%): 96.2837
[2025-04-16 19:11:43] Iteration: 64/1000, Temp: 0.1390, Energy: -2.550082+0.017191j, Rel_err(%): 95.3018
[2025-04-16 19:11:48] Iteration: 65/1000, Temp: 0.1363, Energy: -2.916775+0.033599j, Rel_err(%): 94.6262
[2025-04-16 19:11:53] Iteration: 66/1000, Temp: 0.1336, Energy: -3.410787+0.019479j, Rel_err(%): 93.7161
[2025-04-16 19:11:59] Iteration: 67/1000, Temp: 0.1309, Energy: -4.015687-0.007233j, Rel_err(%): 92.6016
[2025-04-16 19:12:04] Iteration: 68/1000, Temp: 0.1283, Energy: -4.569126+0.003511j, Rel_err(%): 91.5820
[2025-04-16 19:12:09] Iteration: 69/1000, Temp: 0.1258, Energy: -5.047282+0.069488j, Rel_err(%): 90.7011
[2025-04-16 19:12:14] Iteration: 70/1000, Temp: 0.1233, Energy: -5.826590-0.057301j, Rel_err(%): 89.2653
[2025-04-16 19:12:19] Iteration: 71/1000, Temp: 0.1209, Energy: -6.550900+0.041395j, Rel_err(%): 87.9308
[2025-04-16 19:12:25] Iteration: 72/1000, Temp: 0.1185, Energy: -7.169977+0.017030j, Rel_err(%): 86.7902
[2025-04-16 19:12:30] Iteration: 73/1000, Temp: 0.1161, Energy: -7.883441+0.062478j, Rel_err(%): 85.4758
[2025-04-16 19:12:35] Iteration: 74/1000, Temp: 0.1138, Energy: -8.729410+0.155296j, Rel_err(%): 83.9176
[2025-04-16 19:12:40] Iteration: 75/1000, Temp: 0.1116, Energy: -9.642234+0.136802j, Rel_err(%): 82.2358
[2025-04-16 19:12:45] Iteration: 76/1000, Temp: 0.1094, Energy: -10.537689+0.204092j, Rel_err(%): 80.5865
[2025-04-16 19:12:51] Iteration: 77/1000, Temp: 0.1072, Energy: -11.573259+0.152416j, Rel_err(%): 78.6782
[2025-04-16 19:12:56] Iteration: 78/1000, Temp: 0.1051, Energy: -12.559841+0.305415j, Rel_err(%): 76.8621
[2025-04-16 19:13:01] Iteration: 79/1000, Temp: 0.1030, Energy: -13.754447+0.321837j, Rel_err(%): 74.6615
[2025-04-16 19:13:06] Iteration: 80/1000, Temp: 0.1009, Energy: -15.079497+0.287251j, Rel_err(%): 72.2198
[2025-04-16 19:13:11] Iteration: 81/1000, Temp: 0.0989, Energy: -16.260818+0.415962j, Rel_err(%): 70.0457
[2025-04-16 19:13:16] Iteration: 82/1000, Temp: 0.0970, Energy: -17.921027+0.427556j, Rel_err(%): 66.9874
[2025-04-16 19:13:22] Iteration: 83/1000, Temp: 0.0951, Energy: -19.367388+0.640487j, Rel_err(%): 64.3288
[2025-04-16 19:13:27] Iteration: 84/1000, Temp: 0.0932, Energy: -20.876300+0.970050j, Rel_err(%): 61.5640
[2025-04-16 19:13:32] Iteration: 85/1000, Temp: 0.0913, Energy: -23.372713+1.439875j, Rel_err(%): 57.0004
[2025-04-16 19:13:37] Iteration: 86/1000, Temp: 0.0895, Energy: -26.231592+1.489484j, Rel_err(%): 51.7444
[2025-04-16 19:13:42] Iteration: 87/1000, Temp: 0.0878, Energy: -29.062874+0.599398j, Rel_err(%): 46.4684
[2025-04-16 19:13:48] Iteration: 88/1000, Temp: 0.0860, Energy: -32.146348+1.006386j, Rel_err(%): 40.8165
[2025-04-16 19:13:53] Iteration: 89/1000, Temp: 0.0843, Energy: -35.431891+1.262029j, Rel_err(%): 34.7989
[2025-04-16 19:13:58] Iteration: 90/1000, Temp: 0.0826, Energy: -38.395767-0.316841j, Rel_err(%): 29.2664
[2025-04-16 19:14:03] Iteration: 91/1000, Temp: 0.0810, Energy: -41.958476-0.003345j, Rel_err(%): 22.6967
[2025-04-16 19:14:08] Iteration: 92/1000, Temp: 0.0794, Energy: -44.811036+0.134919j, Rel_err(%): 17.4430
[2025-04-16 19:14:14] Iteration: 93/1000, Temp: 0.0778, Energy: -45.604049+0.230618j, Rel_err(%): 15.9859
[2025-04-16 19:14:19] Iteration: 94/1000, Temp: 0.0763, Energy: -46.866314+0.278853j, Rel_err(%): 13.6643
[2025-04-16 19:14:24] Iteration: 95/1000, Temp: 0.0748, Energy: -47.223402+0.157962j, Rel_err(%): 13.0000
[2025-04-16 19:14:29] Iteration: 96/1000, Temp: 0.0733, Energy: -47.390836+0.081815j, Rel_err(%): 12.6892
[2025-04-16 19:14:34] Iteration: 97/1000, Temp: 0.0719, Energy: -47.640048+0.019415j, Rel_err(%): 12.2292
[2025-04-16 19:14:39] Iteration: 98/1000, Temp: 0.0704, Energy: -47.796949-0.023299j, Rel_err(%): 11.9401
[2025-04-16 19:14:45] Iteration: 99/1000, Temp: 0.0690, Energy: -48.009114-0.058835j, Rel_err(%): 11.5497
[2025-04-16 19:14:50] Iteration: 100/1000, Temp: 0.0677, Energy: -48.232300-0.064185j, Rel_err(%): 11.1386
[2025-04-16 19:14:55] Iteration: 101/1000, Temp: 0.0663, Energy: -48.409391-0.074668j, Rel_err(%): 10.8126
[2025-04-16 19:15:00] Iteration: 102/1000, Temp: 0.0650, Energy: -48.626932-0.081832j, Rel_err(%): 10.4120
[2025-04-16 19:15:05] Iteration: 103/1000, Temp: 0.0637, Energy: -48.648017-0.014179j, Rel_err(%): 10.3721
[2025-04-16 19:15:11] Iteration: 104/1000, Temp: 0.0625, Energy: -48.772039-0.032504j, Rel_err(%): 10.1438
[2025-04-16 19:15:16] Iteration: 105/1000, Temp: 0.0612, Energy: -48.926569-0.045814j, Rel_err(%): 9.8592
[2025-04-16 19:15:21] Iteration: 106/1000, Temp: 0.0600, Energy: -49.120775-0.035892j, Rel_err(%): 9.5013
[2025-04-16 19:15:26] Iteration: 107/1000, Temp: 0.0588, Energy: -49.200328-0.056489j, Rel_err(%): 9.3551
