[2025-04-16 00:48:17] ==================================================
[2025-04-16 00:48:17] GCNN for Shastry-Sutherland lattice
[2025-04-16 00:48:17] ==================================================
[2025-04-16 00:48:17] System parameters:
[2025-04-16 00:48:17]   - System size: L=5, N=100
[2025-04-16 00:48:17]   - System parameters: J1=0.03, J2=0.05, Q=0.95
[2025-04-16 00:48:24] --------------------------------------------------
[2025-04-16 00:48:24] Model parameters:
[2025-04-16 00:48:24]   - Number of layers = 4
[2025-04-16 00:48:24]   - Number of features = 4
[2025-04-16 00:48:24]   - Symmetries used: 200
[2025-04-16 00:48:24]   - Total parameters = 19628
[2025-04-16 00:48:24] --------------------------------------------------
[2025-04-16 00:48:24] Training parameters:
[2025-04-16 00:48:24]   - Learning rate: 0.02
[2025-04-16 00:48:24]   - Total annealing steps: 1000
[2025-04-16 00:48:24]   - Samples: 4096
[2025-04-16 00:48:24]   - Discarded samples: 0
[2025-04-16 00:48:24]   - Chunk size: 1024
[2025-04-16 00:48:24] --------------------------------------------------
[2025-04-16 00:48:24] Device status:
[2025-04-16 00:48:24]   - Number of devices: 4
[2025-04-16 00:48:24]   - Sharding: False
[2025-04-16 00:48:31] --------------------------------------------------
[2025-04-16 00:48:31] Start training...
[2025-04-16 01:19:36] Iteration: 128/1000, Temp: 0.0387, Energy: -75.895878+0.014677j, Rel_err(%): 39.8287
[2025-04-16 01:19:50] Iteration: 129/1000, Temp: 0.0379, Energy: -76.003294+0.000721j, Rel_err(%): 40.0266
[2025-04-16 01:20:04] Iteration: 130/1000, Temp: 0.0371, Energy: -76.889687-0.132448j, Rel_err(%): 41.6604
[2025-04-16 01:20:19] Iteration: 131/1000, Temp: 0.0364, Energy: -77.326404-0.062130j, Rel_err(%): 42.4644
[2025-04-16 01:20:33] Iteration: 132/1000, Temp: 0.0357, Energy: -77.126503-0.007439j, Rel_err(%): 42.0960
[2025-04-16 01:20:47] Iteration: 133/1000, Temp: 0.0350, Energy: -77.379098+0.020836j, Rel_err(%): 42.5614
[2025-04-16 01:21:01] Iteration: 134/1000, Temp: 0.0343, Energy: -77.746159+0.040601j, Rel_err(%): 43.2377
[2025-04-16 01:21:16] Iteration: 135/1000, Temp: 0.0336, Energy: -77.507701+0.066094j, Rel_err(%): 42.7985
[2025-04-16 01:21:30] Iteration: 136/1000, Temp: 0.0329, Energy: -77.590783+0.117793j, Rel_err(%): 42.9519
[2025-04-16 01:21:44] Iteration: 137/1000, Temp: 0.0323, Energy: -77.727538+0.051550j, Rel_err(%): 43.2034
[2025-04-16 01:21:59] Iteration: 138/1000, Temp: 0.0316, Energy: -77.738807+0.020995j, Rel_err(%): 43.2241
[2025-04-16 01:22:13] Iteration: 139/1000, Temp: 0.0310, Energy: -77.844328+0.024017j, Rel_err(%): 43.4185
[2025-04-16 01:22:27] Iteration: 140/1000, Temp: 0.0304, Energy: -77.917476+0.023277j, Rel_err(%): 43.5533
[2025-04-16 01:22:41] Iteration: 141/1000, Temp: 0.0298, Energy: -78.149798+0.003210j, Rel_err(%): 43.9813
[2025-04-16 01:22:56] Iteration: 142/1000, Temp: 0.0292, Energy: -78.137914-0.003883j, Rel_err(%): 43.9594
[2025-04-16 01:23:10] Iteration: 143/1000, Temp: 0.0286, Energy: -78.173046+0.046736j, Rel_err(%): 44.0242
[2025-04-16 01:23:24] Iteration: 144/1000, Temp: 0.0281, Energy: -78.575670-0.008794j, Rel_err(%): 44.7659
[2025-04-16 01:23:39] Iteration: 145/1000, Temp: 0.0275, Energy: -78.417102-0.000030j, Rel_err(%): 44.4738
[2025-04-16 01:23:53] Iteration: 146/1000, Temp: 0.0270, Energy: -78.425836+0.028473j, Rel_err(%): 44.4899
[2025-04-16 01:24:07] Iteration: 147/1000, Temp: 0.0264, Energy: -78.497640-0.057549j, Rel_err(%): 44.6223
[2025-04-16 01:24:21] Iteration: 148/1000, Temp: 0.0259, Energy: -78.712663+0.016167j, Rel_err(%): 45.0183
[2025-04-16 01:24:36] Iteration: 149/1000, Temp: 0.0254, Energy: -78.671330+0.015012j, Rel_err(%): 44.9422
[2025-04-16 01:24:50] Iteration: 150/1000, Temp: 0.0249, Energy: -78.593755-0.037268j, Rel_err(%): 44.7993
[2025-04-16 01:25:04] Iteration: 151/1000, Temp: 0.0244, Energy: -78.691900-0.038636j, Rel_err(%): 44.9801
[2025-04-16 01:25:18] Iteration: 152/1000, Temp: 0.0239, Energy: -78.462167+0.022452j, Rel_err(%): 44.5568
[2025-04-16 01:25:33] Iteration: 153/1000, Temp: 0.0234, Energy: -78.680085+0.003363j, Rel_err(%): 44.9583
[2025-04-16 01:25:47] Iteration: 154/1000, Temp: 0.0230, Energy: -78.696236-0.037324j, Rel_err(%): 44.9881
[2025-04-16 01:26:01] Iteration: 155/1000, Temp: 0.0225, Energy: -78.682243-0.022685j, Rel_err(%): 44.9623
[2025-04-16 01:26:15] Iteration: 156/1000, Temp: 0.0221, Energy: -78.770899+0.001412j, Rel_err(%): 45.1256
[2025-04-16 01:26:30] Iteration: 157/1000, Temp: 0.0216, Energy: -78.808912+0.008675j, Rel_err(%): 45.1956
[2025-04-16 01:26:44] Iteration: 158/1000, Temp: 0.0212, Energy: -78.778730-0.013115j, Rel_err(%): 45.1400
[2025-04-16 01:26:58] Iteration: 159/1000, Temp: 0.0208, Energy: -78.864527-0.006357j, Rel_err(%): 45.2981
[2025-04-16 01:27:13] Iteration: 160/1000, Temp: 0.0204, Energy: -78.812660+0.011365j, Rel_err(%): 45.2025
[2025-04-16 01:27:27] Iteration: 161/1000, Temp: 0.0200, Energy: -78.916732-0.013324j, Rel_err(%): 45.3943
[2025-04-16 01:27:41] Iteration: 162/1000, Temp: 0.0196, Energy: -78.856753+0.026827j, Rel_err(%): 45.2838
[2025-04-16 01:27:55] Iteration: 163/1000, Temp: 0.0192, Energy: -78.964753+0.029271j, Rel_err(%): 45.4828
[2025-04-16 01:28:10] Iteration: 164/1000, Temp: 0.0188, Energy: -78.823369+0.019226j, Rel_err(%): 45.2223
[2025-04-16 01:28:24] Iteration: 165/1000, Temp: 0.0184, Energy: -79.116404+0.028011j, Rel_err(%): 45.7622
[2025-04-16 01:28:38] Iteration: 166/1000, Temp: 0.0181, Energy: -79.176599+0.002683j, Rel_err(%): 45.8730
[2025-04-16 01:28:52] Iteration: 167/1000, Temp: 0.0177, Energy: -78.945491+0.013052j, Rel_err(%): 45.4473
[2025-04-16 01:29:07] Iteration: 168/1000, Temp: 0.0174, Energy: -79.071421+0.002753j, Rel_err(%): 45.6793
[2025-04-16 01:29:21] Iteration: 169/1000, Temp: 0.0170, Energy: -78.858146+0.052220j, Rel_err(%): 45.2864
[2025-04-16 01:29:35] Iteration: 170/1000, Temp: 0.0167, Energy: -78.841438+0.054006j, Rel_err(%): 45.2557
[2025-04-16 01:29:49] Iteration: 171/1000, Temp: 0.0164, Energy: -78.943633+0.031090j, Rel_err(%): 45.4439
[2025-04-16 01:30:04] Iteration: 172/1000, Temp: 0.0160, Energy: -78.936697-0.077709j, Rel_err(%): 45.4313
[2025-04-16 01:30:18] Iteration: 173/1000, Temp: 0.0157, Energy: -79.086013-0.081175j, Rel_err(%): 45.7064
[2025-04-16 01:30:32] Iteration: 174/1000, Temp: 0.0154, Energy: -78.909208-0.056633j, Rel_err(%): 45.3805
[2025-04-16 01:30:46] Iteration: 175/1000, Temp: 0.0151, Energy: -78.868834-0.006267j, Rel_err(%): 45.3060
[2025-04-16 01:31:01] Iteration: 176/1000, Temp: 0.0148, Energy: -78.695793-0.019986j, Rel_err(%): 44.9872
[2025-04-16 01:31:15] Iteration: 177/1000, Temp: 0.0145, Energy: -78.863701-0.102348j, Rel_err(%): 45.2970
[2025-04-16 01:31:29] Iteration: 178/1000, Temp: 0.0142, Energy: -78.860656-0.118164j, Rel_err(%): 45.2915
[2025-04-16 01:31:43] Iteration: 179/1000, Temp: 0.0139, Energy: -78.871155+0.004060j, Rel_err(%): 45.3103
[2025-04-16 01:31:58] Iteration: 180/1000, Temp: 0.0137, Energy: -79.058284-0.049510j, Rel_err(%): 45.6552
[2025-04-16 01:32:12] Iteration: 181/1000, Temp: 0.0134, Energy: -79.081823+0.005528j, Rel_err(%): 45.6984
[2025-04-16 01:32:26] Iteration: 182/1000, Temp: 0.0131, Energy: -79.226278+0.024428j, Rel_err(%): 45.9646
