[2025-03-05 19:44:05] 
==================================================
[2025-03-05 19:44:05] 开始计算: L=3, J1=0.8 (固定 J2=1.0)
[2025-03-05 19:44:05] ==================================================
[2025-03-05 19:44:05] 系统大小: L=3, N=36
[2025-03-05 19:44:05] 参数: J1=0.8, J2=1.0, h=0.0
[2025-03-05 19:44:05] 优化参数:
[2025-03-05 19:44:05]   - 学习率: 0.05
[2025-03-05 19:44:05]   - 退火迭代次数: 2000
[2025-03-05 19:44:05]   - 每次退火训练步数: 1
[2025-03-05 19:44:05]   - 样本数: 4096
[2025-03-05 19:44:05]   - 丢弃样本数: 0
[2025-03-05 19:44:05]   - Chunk大小: 1024
[2025-03-05 19:44:05] --------------------------------------------------
[2025-03-05 19:44:07] 使用对称性数目: 16
[2025-03-05 19:44:20] 设备数量: 1
[2025-03-05 19:44:20] Sharding状态: True
[2025-03-05 19:44:20] 采样器配置: 样本总数=4096
[2025-03-05 19:44:20] Chunk大小: 1024
[2025-03-05 19:44:20] 参数数量 = 83472
[2025-03-05 19:44:20] 开始优化...
[2025-03-05 19:44:20] 开始温度退火优化，总迭代次数: 2000, 学习率: 0.05
[2025-03-06 09:24:56] Iter 1180/2000, T=0.0000, Energy = -16.223457 ± 0.005755, Variance = 0.124785
[2025-03-06 09:31:44] Iter 1190/2000, T=0.0000, Energy = -16.216455 ± 0.006884, Variance = 0.183226
[2025-03-06 09:38:31] Iter 1200/2000, T=0.0000, Energy = -16.232130 ± 0.004431, Variance = 0.128488
[2025-03-06 09:45:10] Iter 1210/2000, T=0.0000, Energy = -16.226108 ± 0.004551, Variance = 0.092050
[2025-03-06 09:51:55] Iter 1220/2000, T=0.0000, Energy = -16.227349 ± 0.005334, Variance = 0.108333
[2025-03-06 09:58:42] Iter 1230/2000, T=0.0000, Energy = -16.222388 ± 0.007177, Variance = 0.200675
[2025-03-06 10:05:26] Iter 1240/2000, T=0.0000, Energy = -16.229763 ± 0.005323, Variance = 0.124616
[2025-03-06 10:12:12] Iter 1250/2000, T=0.0000, Energy = -16.227809 ± 0.005991, Variance = 0.146335
[2025-03-06 10:18:53] Iter 1260/2000, T=0.0000, Energy = -16.227914 ± 0.006159, Variance = 0.156171
[2025-03-06 10:25:42] Iter 1270/2000, T=0.0000, Energy = -16.215439 ± 0.007615, Variance = 0.199343
[2025-03-06 10:32:24] Iter 1280/2000, T=0.0000, Energy = -16.228364 ± 0.004807, Variance = 0.101138
[2025-03-06 10:39:05] Iter 1290/2000, T=0.0000, Energy = -16.223650 ± 0.005543, Variance = 0.116420
[2025-03-06 10:45:51] Iter 1300/2000, T=0.0000, Energy = -16.229404 ± 0.005213, Variance = 0.105183
[2025-03-06 10:52:41] Iter 1310/2000, T=0.0000, Energy = -16.232724 ± 0.006480, Variance = 0.110197
[2025-03-06 10:59:30] Iter 1320/2000, T=0.0000, Energy = -16.225634 ± 0.006045, Variance = 0.130498
[2025-03-06 11:06:13] Iter 1330/2000, T=0.0000, Energy = -16.224809 ± 0.005435, Variance = 0.174981
[2025-03-06 11:12:57] Iter 1340/2000, T=0.0000, Energy = -16.226057 ± 0.006329, Variance = 0.132918
[2025-03-06 11:19:43] Iter 1350/2000, T=0.0000, Energy = -16.230165 ± 0.005795, Variance = 0.126409
