[2025-04-11 09:20:52] ==================================================
[2025-04-11 09:20:52] Study of the Shastry-Sutherland Model
[2025-04-11 09:20:52] ==================================================
[2025-04-11 09:20:52] System parameters: L=3, N=36
[2025-04-11 09:20:52]   - System size: L=3, N=36
[2025-04-11 09:20:52]   - System parameters: J1=0.8, J2=1.0, Q=0.0
[2025-04-11 09:21:03] --------------------------------------------------
[2025-04-11 09:21:03] Model parameters:
[2025-04-11 09:21:03]   - Number of layers = 4
[2025-04-11 09:21:03]   - d_model = 32
[2025-04-11 09:21:03]   - Number of heads = 4
[2025-04-11 09:21:03]   - Patch size = 2
[2025-04-11 09:21:03]   - Symmetries used: 72
[2025-04-11 09:21:03]   - Total parameters = 23344
[2025-04-11 09:21:03] --------------------------------------------------
[2025-04-11 09:21:03] Training parameters:
[2025-04-11 09:21:03]   - Learning rate: 0.035->0.0245
[2025-04-11 09:21:03]   - Total annealing steps: 1200
[2025-04-11 09:21:03]   - Samples: 4096
[2025-04-11 09:21:03]   - Discarded samples: 0
[2025-04-11 09:21:03]   - Chunk size: 1024
[2025-04-11 09:21:03] --------------------------------------------------
[2025-04-11 09:21:03] Device status:
[2025-04-11 09:21:03]   - Number of devices: 2
[2025-04-11 09:21:03]   - Sharding: True
[2025-04-11 09:21:03] --------------------------------------------------
[2025-04-11 09:21:03] Start training...
[2025-04-11 10:03:09] Iteration: 125/1200, LR: 0.033723, Temp: 0.0410, Energy: -11.705427+0.006496j, Rel_err(%): 28.0247
[2025-04-11 10:03:29] Iteration: 126/1200, LR: 0.033713, Temp: 0.0402, Energy: -11.747825-0.012352j, Rel_err(%): 27.7641
[2025-04-11 10:03:49] Iteration: 127/1200, LR: 0.033703, Temp: 0.0394, Energy: -11.854537+0.006730j, Rel_err(%): 27.1078
[2025-04-11 10:04:09] Iteration: 128/1200, LR: 0.033693, Temp: 0.0387, Energy: -11.655757+0.028996j, Rel_err(%): 28.3307
[2025-04-11 10:04:28] Iteration: 129/1200, LR: 0.033683, Temp: 0.0379, Energy: -11.714797+0.038069j, Rel_err(%): 27.9680
[2025-04-11 10:04:48] Iteration: 130/1200, LR: 0.033673, Temp: 0.0371, Energy: -11.688407+0.026797j, Rel_err(%): 28.1298
[2025-04-11 10:05:08] Iteration: 131/1200, LR: 0.033663, Temp: 0.0364, Energy: -11.711863+0.003199j, Rel_err(%): 27.9851
[2025-04-11 10:05:28] Iteration: 132/1200, LR: 0.033653, Temp: 0.0357, Energy: -11.721369-0.002699j, Rel_err(%): 27.9267
[2025-04-11 10:05:47] Iteration: 133/1200, LR: 0.033643, Temp: 0.0350, Energy: -11.749577+0.014857j, Rel_err(%): 27.7534
[2025-04-11 10:06:07] Iteration: 134/1200, LR: 0.033633, Temp: 0.0343, Energy: -11.768761+0.022100j, Rel_err(%): 27.6356
[2025-04-11 10:06:27] Iteration: 135/1200, LR: 0.033623, Temp: 0.0336, Energy: -11.782525+0.012700j, Rel_err(%): 27.5507
[2025-04-11 10:06:46] Iteration: 136/1200, LR: 0.033613, Temp: 0.0329, Energy: -11.802891+0.011898j, Rel_err(%): 27.4255
[2025-04-11 10:07:06] Iteration: 137/1200, LR: 0.033603, Temp: 0.0323, Energy: -11.767701+0.007385j, Rel_err(%): 27.6418
[2025-04-11 10:07:26] Iteration: 138/1200, LR: 0.033593, Temp: 0.0316, Energy: -11.757574-0.007582j, Rel_err(%): 27.7041
[2025-04-11 10:07:46] Iteration: 139/1200, LR: 0.033583, Temp: 0.0310, Energy: -11.756581-0.032312j, Rel_err(%): 27.7109
[2025-04-11 10:08:05] Iteration: 140/1200, LR: 0.033573, Temp: 0.0304, Energy: -11.738752-0.004469j, Rel_err(%): 27.8198
[2025-04-11 10:08:25] Iteration: 141/1200, LR: 0.033563, Temp: 0.0298, Energy: -11.756562-0.022059j, Rel_err(%): 27.7106
[2025-04-11 10:08:45] Iteration: 142/1200, LR: 0.033554, Temp: 0.0292, Energy: -11.796443-0.044079j, Rel_err(%): 27.4664
[2025-04-11 10:09:05] Iteration: 143/1200, LR: 0.033544, Temp: 0.0286, Energy: -11.770231-0.029410j, Rel_err(%): 27.6268
[2025-04-11 10:09:25] Iteration: 144/1200, LR: 0.033534, Temp: 0.0281, Energy: -11.800719+0.007459j, Rel_err(%): 27.4388
